valid mae: 2.065240878759537, valid rmse:3.7846537150299087
valid mae: 2.0626939280160244, valid rmse:3.8068163069366134
valid mae: 2.0467629312414832, valid rmse:3.792437783090418
valid mae: 2.056794774845354, valid rmse:3.7806065812166683
valid mae: 2.0577544906203578, valid rmse:3.81927385455221
valid mae: 2.0560374088138182, valid rmse:3.792657030122613
valid mae: 2.0573307175792173, valid rmse:3.8291937748862432
valid mae: 2.054003323173791, valid rmse:3.7968149076996194
valid mae: 2.047198567838914, valid rmse:3.8051777814605305
valid mae: 2.0444790605068333, valid rmse:3.7989565433123347
valid mae: 2.0504888895288156, valid rmse:3.8211656492417254
valid mae: 2.035742641960661, valid rmse:3.806375489656317
valid mae: 2.0484788141613635, valid rmse:3.736679213798896
valid mae: 2.006208641057293, valid rmse:3.7460992191894054
valid mae: 2.0199156452373614, valid rmse:3.761575572332813
valid mae: 2.0131676866965407, valid rmse:3.7685672369760077
valid mae: 2.035166849992123, valid rmse:3.7853883935639288
valid mae: 2.0341861071853646, valid rmse:3.7591904528111866
valid mae: 2.0178281240492644, valid rmse:3.753490836771566
valid mae: 2.007000839854775, valid rmse:3.724779584450904
valid mae: 2.014573796501529, valid rmse:3.726006012958547
valid mae: 2.0191086888600775, valid rmse:3.7411618758841474
valid mae: 2.0150690914230522, valid rmse:3.7098718946215077
valid mae: 2.033107970225338, valid rmse:3.749196410924376
valid mae: 2.0504050834857064, valid rmse:3.7891483812446083
valid mae: 2.0507573307255265, valid rmse:3.8531544188886304
valid mae: 2.0431399559212844, valid rmse:3.8644400038729776
valid mae: 2.048369710632108, valid rmse:3.8626045668436797
valid mae: 2.0638443287282318, valid rmse:3.8807608420797233
valid mae: 2.0659580866208285, valid rmse:3.8902026859684513
valid mae: 2.055152573617772, valid rmse:3.9031065867346455
valid mae: 2.064156577725758, valid rmse:3.9165860453774046
valid mae: 2.0632167868755382, valid rmse:3.9354755037245384
valid mae: 2.0733760985978034, valid rmse:3.9353445872889345
valid mae: 2.0591225759720175, valid rmse:3.9083766070111796
valid mae: 2.069275350245025, valid rmse:3.92817172000139
valid mae: 2.0736228439353988, valid rmse:3.9044078377872298
valid mae: 2.067776255081992, valid rmse:3.8631343376941465
valid mae: 2.069033561420147, valid rmse:3.8577178148599693
valid mae: 2.072810717458095, valid rmse:3.905000436741841
valid mae: 2.0721890511508283, valid rmse:3.9460420329829673
valid mae: 2.0687835850101064, valid rmse:3.966099485453865
valid mae: 2.091449339369997, valid rmse:3.9994702357157297
valid mae: 2.0794865554887383, valid rmse:4.018363184655314
valid mae: 2.065880904187791, valid rmse:3.992142405471592
valid mae: 2.050975099681115, valid rmse:3.9843263574976127
valid mae: 2.0602170100629267, valid rmse:3.9869626978264017
valid mae: 2.074157418257937, valid rmse:3.990666891318344
valid mae: 2.058849224060103, valid rmse:3.97760696636978
valid mae: 2.0623335935742397, valid rmse:3.9923001900271298
valid mae: 2.0530287742231437, valid rmse:3.9686263442773244
valid mae: 2.0518572065072873, valid rmse:4.01132570670048
valid mae: 2.059629467770154, valid rmse:4.098965779832031
valid mae: 2.069349069296036, valid rmse:4.138748865567374
valid mae: 2.058998086720322, valid rmse:4.166683198411601
valid mae: 2.0756059434236946, valid rmse:4.218376012243294
valid mae: 2.073238829580023, valid rmse:4.178199503345675
valid mae: 2.0774733460281696, valid rmse:4.1223188170079474
valid mae: 2.0728439405033443, valid rmse:4.131807344590385
